Judul,penulis,Dosen Pembimbing I,Dosen Pembimbing II,abstrak
Pengaruh Penerapan Pembelajaran Tematik Integratif Model Konsiderasi Mata Pelajaran PKn Kelas IV SD Terhadap Sikap Peduli Lingkungan (Reduce Sampah),Penulis : DEWI AMALIYA ULFA,"Mujtahidin, S.Pd., M.Pd","Wanda Ramansyah, S.Pd., M.Pd","Penelitian ini bertujuan untuk mengetahui pengaruh dari penerapan pembelajaran tematik integratif model konsiderasi pada mata pelajaran PKn kelas IV terhadap sikap peduli lingkungan (reduce sampah). Penelitian ini menggunakan pendekatan kuantitatif dengan jenis penelitian eksperimen desain Posttest Only Control Design.Teknik pengambilan sampel yaitu purposive sampling, yaitu kelas IV di SDN Keleyan 1 sebagai kelas eksperimen dan kelas IV di SDN Keleyan 2 sebagai kelas kontrol. Instrumen yang digunakan adalah angket(tes sikap)dengan menggunakanskala likert.Analisis data uji hipotesis menggunakan uji-t. Dari hasil analisis uji hipotesis diperoleh thitung 5,51> ttabel 2,033 yang menyatakan Ho ditolak. Maka, terdapat pengaruh penerapan model konsiderasi dalam pembelajaran PKn tematik-integratif terhadap sikap kepedulian siswa terhadap lingkungan (Reduce Sampah). "
"Pengaruh Metode Pembelajaran Bermain Peran (Role-Playing) Terhadap Motivasi Dan Hasil Belajar Siswa Pada Pembelajaran Tema ""Sehat Itu Penting"" Kelas V SDN Demangan 1 Bangkalan",Penulis : RIZKA AINUN JARIYAH,"Eva Ari Wahyuni, S.Pd., M.Si","Fatimatul Munawaroh, S.Si., M.Si","Penelitian ini bertujuan untuk mengetahui pengaruh pembelajaran pendekatan saintifik dengan metode bermain peran (role-playing) pada pembelajaran tema âsehat itu pentingâ kelas V SDN Demangan 1 terhadap motivasi dan hasil belajar siswa. Penelitian ini merupakan penelitian eksperimen dengan bentuk True Experimental Design yang terdapat dua kelompok dan dipilih secara random. Kelas eksperimen dengan pembelajaran pendekatan saintifik menggunakan metode bermain peran dan kelas kontrol dengan pembelajaran pendekatan saintifik menggunakan metode diskusi-ceramah. Pada pengujian kenormalan dan homogenitas kedua sampel, dikatakan bahwa sampel berasal dari siswa yang berdistribusi normal dan varians homogen. Pada pengujian kesamaan dua rata-rata nilai pretest motivasi dan hasil belajar siswa, dikatakan motivasi dan hasil belajar awal siswa kedua sampel adalah sama. Pengujian hipotesis postest motivasi belajar kedua sampel diperoleh nilai thitung = 6,379 > ttabel = 1,999. Pengujian hipotesis hasil belajar postest diperoleh nilai thitung = 4,077 > ttabel = 1,999 dengan taraf signifikan a = 0,05, terdapat perbedaan antara motivasi dan hasil belajar siswa kelas eksperimen dan kelas kontrol. Dapat disimpulkan pembelajaran saintifik metode bermain peran pada pembelajaran tema âsehat itu pentingâ dapat mempengaruhi motivasi dan hasil belajar siswa."
PENGGUNAAN MEDIA PEMBELAJARAN KOTAK CERITA BERLAPIS UNTUK MELATIH KETERAMPILAN SISWA SD DALAM BERCERITA,Penulis : LAELA ROKHMATUL KAROMAH,"Sulaiman, S.Pd., M.Pd","Ira Fatmawati, S.Pd., M.Pd","Di lapangan pada umumnya siswa masih belum mampu bercerita dengan baik dan menarik, karena masih membawa buku ketika bercerita. Maka dari itu dibutuhkan media cerita yang dapat membantu siswa untuk terampil bercerita. Untuk itu peneliti menggunan media cerita kotak cerita berlapis yang lebih inovatif dan menarik perhatian siswa.Penelitian ini menggunakan penelitian kualitatif deskriptif. Pengumpulan data dilakukan dengan teknik observasi, wawancara, dan dokumentasi. Untuk menjaga keabsahan data, dilakukan kegiatan triangulasi data. Kegiatan analisis data dimulai dari pengambilan data, telaah data, reduksi data, penyusun data, pemeriksaan keabsahan data, dan penafsiran data.Berdasarkan hasil penelitian dapat disimpulkan bahwa: (1) penggunaan media kotak cerita sangat menarik bagi siswa SD kelas V, karena menarik dan inovatif sehingga dapat memudahkan siswa SD dalam bercerita. Bahkan tanpa membaca dan menghafal teks cerita siswa SD dapat bercerita dengan baik menggunakan kotak cerita berlapis.
Kata kunci: kotak cerita, keterampilan bercerita, siswa SD	
"
"Pengaruh Penggunaan Metode Demonstrasi Terhadap Hasil Belajar Materi Bunyi Pada Siswa Kelas IV SDN Banyusangka 2 Kecamatan Tanjungbumi Kabupaten Bangkalan.
",Penulis : Yuliana,"Eva Ari Wahyuni, S.Pd., M.Si","Fatimatul Munawaroh, S.Si., M.Si","Penelitian âPengaruh Penggunaan Metode Demonstrasi Terhadap Hasil Belajar Materi Bunyi Pada Siswa Kelas IV SDN Banyusangka 2 Kecamatan Tanjungbumi Kabupaten Bangkalanâ bertujuan untuk mengetahui apakah ada pengaruh penggunaan metode demonstrasi terhadap hasil belajar pada materi bunyi. Penilaian yang dilakukan di SDN Banyusangka 2 fokus pada materi bunyi pembelajaran Ilmu Pengetahuan Alam. Jenis penelitian yang digunakan adalah penelitian eksperimen dengan menggunakan metode penelitian Pre-Experimental Design dengan menggunakan One Group Pretest-Postest Design yang terdapat satu kelas yaitu kelas eksperimen. Instrumen utama yang digunakan adalah tes hasil belajar sebanyak 16 soal dan penilaian psikomotorik dengan aspek-aspek yaitu menyebutkan sumber bunyi, mempraktekkan (bunyi dapat bergetar) menggunakan media yang ada, memperagakan media melalui benda padat, cair dan udara, membuktikan bunyi dapat memantul. Dari hasil uji hipotesis diperoleh nilai thitung3,146 > ttabel2,079 dan penilaian psikomotorik dari 4 aspek tercapai dengan kategori dan nilai paling tinggi 52% dengan skor maksimum yang paling banyak 75, sehingga dapat disimpulkan bahwa penggunaan metode demonstrasi berpengaruh terhadap hasil belajar.  Kata kunci: metode demonstrasi, materi bunyi, hasil belajar"
KOMPARASI PRESTASI BELAJAR SISWA ANTARA MODEL PEMBELAJARAN BERBASIS MASALAH (PBM) DAN MODEL PEMBELAJARAN KOOPERATIF TIPE GROUP INVESTIGATION (GI) DENGAN METODE DISKUSI PADA MATA PEAJARAN IPA KELAS V T,Penulis : Hendry Purnomo,"Badrud Tamam, S.Si., M.Pd.","Fatimatul Munawaroh, S.Si., M.Si.","Penelitian ini bertujuan untuk mengetahui, 1) Hasil nilai UAS mata pelajaran IPA semester ganjil tahun ajaran 2014/2015, 2) Kemampuan siswa sesudah penerapan model PBM dan koopratif tipe GI, 3) Perbedaan prestasi belajar siswa pada kedua sekolah sesudah penerapan model PBM dan kooperatif tipe GI. Jenis penelitian ini adalah quasy eksperimen dengan desain two group posttest only dengan dua kelompok subjek penelitian yang memiliki kemampuan sama (homogen). Sampel penelitian ini adalah kelas V SD Negeri Burneh 4 dan Alaskembang 2. Hasil penelitian menunjukkan bahwa terdapat perbedaan prestasi belajar siswa pada model PBM dan kooperatif GI pada mata pelajaran IPA. Pada kelas dengan model PBM, rata-rata siswa mencapai 78,35 sedangkan pada kelas kooperatif GI mencapai 82,32. Dengan hasil tersebut, dapat dikatakan bahwa model kooperatif GI lebih unggul dibandingkan model PBM dengan metode diskusi pada materi daur air kelas V SD."
"KORELASI PRESTASI BELAJAR MATA PELAJARAN IPA DENGAN PERILAKU PEDULI LINGKUNGAN PADA SISWA KELAS IV SDN LABANG, KECAMATAN LABANG, KABUPATEN BANGKALAN",Penulis : Ahmad Syarif Hidayat,"Badrud Tamam, S.Si., M.Pd.","Muhammad Busyro Karim, S.Ag., M.Si.","Kepedulian terhadap lingkungan merupakan terapan dari proses pembelajaran khususnya mata pelajaran IPA. Penelitian ini bertujuan untuk mengetahui bagaimana korelasi prestasi belajar mata pelajaran IPA dengan perilaku peduli lingkungan di SDN Labang Kecamatan Labang, Kabupaten Bangkalan. Penelitian ini merupakan penelitian kuantitatif studi korelasi non experimen. Populasi dalam penelitian ini adalah Kelas IV SDN Labang, Kecamatan Labang, Kabupaten Bangkalan dengan sampel seluruh populasi yaitu kelas IV A dan IV B. Instrumen dalam penelitian ini adalah studi dokumentasi prestasi belajar mata pelajaran IPA dan angket perilaku peduli lingkungan yang telah melalui proses validasi. Variabel dalam penelitian ini adalah prestasi belajar IPA yang diperoleh dari studi dokumentasi dan perilaku peduli lingkungan yang diperoleh dari pengisian instrumen angket perilaku peduli lingkungan. Hasil perhitungan uji-r yang dilaksanakan oleh peneliti menghasilkan nilai r hitung = 0,409 > nilai r tabel = 0,301 (nilai r hitung lebih besar dari nilai r tabel) dan disimpulkan bahwa Ho ditolak dan Ha diterima. Terdapat korelasi positif dan signifikan antara variabel prestasi belajar IPA dengan perilaku peduli lingkungan siswa SDN Labang, Labang, Bangkalan. Koefisien determinasi sebesar 16,7% menunjukkan prosentase prestasi belajar IPA mempengeruhi perilaku peduli lingkungan siswa.

Kepedulian terhadap lingkungan merupakan terapan dari proses pembelajaran khususnya mata pelajaran IPA. Penelitian ini bertujuan untuk mengetahui bagaimana korelasi prestasi belajar mata pelajaran IPA dengan perilaku peduli lingkungan di SDN Labang Kecamatan Labang, Kabupaten Bangkalan. Penelitian ini merupakan penelitian kuantitatif studi korelasi non experimen. Populasi dalam penelitian ini adalah Kelas IV SDN Labang, Kecamatan Labang, Kabupaten Bangkalan dengan sampel seluruh populasi yaitu kelas IV A dan IV B. Instrumen dalam penelitian ini adalah studi dokumentasi prestasi belajar mata pelajaran IPA dan angket perilaku peduli lingkungan yang telah melalui proses validasi. Variabel dalam penelitian ini adalah prestasi belajar IPA yang diperoleh dari studi dokumentasi dan perilaku peduli lingkungan yang diperoleh dari pengisian instrumen angket perilaku peduli lingkungan. Hasil perhitungan uji-r yang dilaksanakan oleh peneliti menghasilkan nilai r hitung = 0,409 > nilai r tabel = 0,301 (nilai r hitung lebih besar dari nilai r tabel) dan disimpulkan bahwa Ho ditolak dan Ha diterima. Terdapat korelasi positif dan signifikan antara variabel prestasi belajar IPA dengan perilaku peduli lingkungan siswa SDN Labang, Labang, Bangkalan. Koefisien determinasi sebesar 16,7% menunjukkan prosentase prestasi belajar IPA mempengeruhi perilaku peduli lingkungan siswa."
PENGARUH METODE PEMBELAJARAN THINK PAIR SHARE BERBASIS PENDEKATAN SAINTIFIK TERHADAP KECERDASAN  INTERPERSONAL SISWA (STUDI PADA KELAS V SDN KEMAYORAN 01 BANGKALAN) ,Penulis : Sholihatul Fitriah,"Drs. Harun Al Rasyid, M. Si","M. Busyro Karim, S. Ag., M. Si","Kecerdasan interpersonal merupakan kemampuan siswa dalam memahami dan kemampuan menyesuaikan tingkah laku dengan lingkungan yang ada disekitarnya. Penelitian ini bertujuan untuk mengatahui pengaruh metode pembelajaran TPS terhadap kecerdasan interpersonal. Penelitian ini termasuk penelitian kuantutatif eksperimental design. Populasi yang digunakan 105 siswa pada kelas V, sedangkan sampel yang digunakan 70 siswa. Tes yang digunakan berupa tes kecerdasan interpersonal. Hasil analisi validasi ahli diperoleh keterangan sangan baik, dan hasil analisis dengan menggunakan rumus product moment diperoleh 21 soal valid namun hanya 20 soal yang digunakan sesuai dengan nilai validitas yang paling tinggi. Uji reliabilitas tes kecerdasan interpersonal diperoleh korelasi sebesar 0,698 termasuk dalam kategori tinggi. Hasil penelitian yang telah dianalisi menghasilkan adanya pengaruh positif dari penggunaan metode pembelajaran think pair share berbasis pendekatan saintifik terhadap kecerdasan interpersonal. Hal tersebut dapat diketahui dari hasil uji hipotesis dengan diperoleh thitung =2,530 dan ttabel = 2,034. Berdasakan kriteria pengujian apabila  diperoleh thitung lebih besar dari t tabel makan Ha diterima dan Ho ditolak. Berdasarkan penentuan kriteria tersebut dapat disimpulkan bahwa metode pembelajaran think pair share dapat meningkatkan kecerdasan interpersonal siswa melalui kegiatan-kegiatan proses pembelajaranya. "
PENGARUH MODEL QUANTUM TEACHING TEKNIK TANDUR PADA MATA PELAJARAN IPS TERHADAP  HASIL BELAJAR SISWA KELAS IV SDN GILI BARAT  TAHUN PELAJARAN 2014/2015 ,Penulis : Nihriir Ayu Rizky Liliyani,"Drs. Harun Al Rasyid, M. Si","M. Busyro Karim, S. Ag., M. Si","Penelitian ini bertujuan untuk mengetahui pengaruh model Quantum Teaching teknik TANDUR mata pelajaran IPS terhadap hasil belajar siswa kelas IV SDN Gili Barat Tahun Pelajaran 2014/2015. Peneliti mencoba menerapkan model Quantum Teaching dengan teknik TANDUR (Tanamkan, Alami, Namai, Demonstrasikan, Ulangi, dan Rayakan) yang dapat menciptakan lingkungan belajar efektif dan  interaktif, menciptakan suasana yang asyik dan menyenangkan, serta memudahkan proses belajar sehingga tujuan pembelajaran yaitu dapat meningkatkan aktivitas hasil belajar siswa dapat tercapai. Penelitian ini termasuk dalam penelitian kuantitatif dengan jenis quasi eksperimen. Populasi pada penelitian ini adalah siswa kelas IV sedangkan sampel yaitu semua  yang termasuk populasi. Data penelitian ini diperoleh dari pretest dan postest, lembar observasi, serta angket siswa. Hasil penelitian ini menunjukkan hasil belajar siswa rata-rata nilai pretest di kelompok kontrol adalah 35 dan di kelompok eksperimen adalah 48 serta rata-rata nilai postest di kelompok kontrol adalah 63 dan di kelompok eksperimen adalah 84. Sehingga hasil dari penelitian ini yang telah dianalisis menghasilkan terdapat pengaruh positif model Quantum Teaching teknik TANDUR mata pelajaran IPS terhadap hasil belajar siswa kelas IV SDN Gili Barat Tahun Pelajaran 2014/2015 dengan thitung adalah 2,369 > ttabel adalah 2,093. "
PROBLEMATIKA PENDEKATAN SAINTIFIK DALAM KURIKULUM 2013 BERBASIS TEMATIK  PADA MATA PELAJARAN IPS ,Penulis : Diana Hadiyanti,"Priyono Tri Febrianto, S. Sos., M. Si","Wahid Khoirul Ikhwan, M. Pd","Seiring berkembangnya IPTEK membuat sistem pendidikan mengalami perkembangan. Adanya perubahan kurikulum dari KTSP menjadi Kurikulum 2013 merupakan salah satu cara memperbaiki sistem sebelumnya. Perubahan yang dirasakan yakni pembelajaran dengan sistem tematik. Pendekatan yang digunakan yaitu pendekatan saintifik. Tahapan pembelajarannya meliputi mengamati, menanya, mengumpulkan data/mencoba, menalar/mengasosiasikan, serta mengkomunikasikan. Namun, ketika diterapkan dengan pembelajaran berbasis tema, banyak problematika yang terjadi. Salah satunya pada mata pelajaran IPS, ketika pembelajaran sistem tema yang diterapkan tidak terlihat. "
Analisis Pembiasaan Menulis Huruf Tegak Bersambung Melalui Kegiatan Menyalin Cerita Siswa Kelas III SDN Gapura Barat 1,Penulis : Mukris Sa'Ã¤da,"Sulaiman, S. Pd., M. Pd","Ira Fatmawati, S. S., M. Pd","Pembelajaran bahasa Indonesia meliputi empat aspek yaitu berbicara, membaca, mendengarkan, dan menulis. Namun, untuk keterampilan menulis pada kegiatan menulis tegak bersambung masih jarang digunakan. Untuk itu dalam pembelajaran bahasa Indonesia pada keterampilan menulis tegak bersambung perlu didukung dengan adanya pembiasaan. Penelitian ini bertujuan untuk mengetahui pembiasaan menulis tegak bersambung siswa, kemampuan siswa dalam menulis tegak bersambung, kendala dalam membiasakan siswa menulis tegak bersambung, dan faktor pendukung serta penghambat pembiasaan menulis tegak bersambung pada siswa kelas III SDN Gapura Barat 1. Rancangan penelitian kualitatif deskriptif yang digunakan dalam penelitian ini dilakukan pada siswa kelas III SDN Gapura Barat 1 agar dapat mencapai fokus penelitian secara jelas. Pengumpulan data dilakukan melalui metode observasi, wawancara, dokumentasi, tes, dan triangulasi. Sampel sumber data dipilih secara purposive sampling. Berdasarkan hasil penelitian dapat disimpulkan bahwa, proses pembiasaan menulis tegak bersambung di kelas sangat menyenangkan sehingga siswa dapat mengikuti kegiatan dengan baik dan siswa mulai terbiasa menulis dengan menggunakan huruf tegak bersambung. Dalam hal tersebut siswa mengikuti kegiatan dengan menggunakan cerita-cerita yang menyenangkan, sehingga siswa termotivasi untuk berlatih pembiasaan menulis tegak bersambung. Setelah adanya kegiatan dan pembiasaan yang diberikan oleh guru, siswa sudah mulai paham dengan bentuk-bentuk tulisan tegak bersambung, selain itu pembiasaan menulis tegak bersambung siswa sudah mulai tampak baik. Hal tersebut tampak dari hasil atau skor pada tes kegiatan menulis tegak bersambung siswa. 
Kata Kunci : Pembiasaan, tegak bersambung, cerita, siswa "
PENGARUH PEMBELAJARAN BERBASIS NILAI DENGAN METODE CERITA TERHADAP SIKAP KEWARGANEGARAAN (CIVIC DISPOSITION) SISWA PADA MATA PELAJARAN PKn  KELAS V SDN GILI BARAT ,Penulis : Syahfitri Tika Suci,"Ariesta Kartika Sari, S. Si., M. Pd","Mujtahidin, S. Pd., M. Pd","Penelitian ini bertujuan untuk mengetahui pengaruh pembelajaran berbasis nilai dengan metode cerita terhadap sikap kewarganegaraan (civic disposition) siswa. Penelitian ini termasuk penelitian kuantitatif dengan bentuk quasi exsperimental design menggunakan teknik nonequivalent control group design. Pada penelitian ini satu kelompok diberi perlakuan dan pengaruh perlakuan diukur dari perbedaan antara pengukuran awal sebelum adanya perlakuan dan pengukuran akhir setelah adanya perlakuan. Populasi pada penelitian ini adalah seluruh siswa kelas V SDN Gili Barat, pengambilan sampel menggunakan teknik sampel jenuh dimana semua populasi dijadikan objek penelitian.Teknik pengumpulan data pada penelitian ini, berupa tes sikap sebagai data utama, lembar aktivitas guru dan siswa sebagai data pendukung. Dari hasil penelitian diperoleh nilai thitung = 2,236 > ttabel = 2,093 taraf signifikan (?) = 0,025 dan n = 21- 2 = 19. Sehingga dapat disimpulkan bahwa terdapat pengaruh dalam  penerapan pembelajaran berbasis nilai dengan metode cerita terhadap sikap kewarganegaraan (civic disposition) siswa kelas V pada mata pelajaran PKn di SDN Gili Barat. Hal ini dapat diketahui dari hasil peningkatan tes sikap kewarganegaraan dengan menggunakan uji gain ternormalisasi, lembar aktivitas guru dan aktivitas siswa.  "
PERBANDINGAN MODEL PEMBELAJARAN KOOPERATIF TIPE JIGSAW DAN NHT (NUMBERED HEAD TOGETHER) TERHADAP SIKAP DEMOKRATIS SISWA DALAM PEMBELAJARAN PKn KELAS IV  DI SD MUHAMMADIYAH SIDAYU GRESIK,Penulis : Putri Aprilia Prihatin,"Ariesta Kartika Sari, S. Si., M. Pd","Mujtahidin, S. Pd., M. Pd","Sikap demokratis tidak hanya menuntut siswa aktif dalam berpendapat, namun siswa juga mampu menghargai dan menghormati pendapat dari siswa lain serta mampu menyelesaikan permasalahan dengan cara yang tepat. Upaya untuk meningkatkan dan menumbuhkan sikap demokratis siswa dalam pembelajaran PKn adalah dengan menerapkan Model Pembelajaran Kooperatif Tipe Jigsaw dan NHT (Numbered Head Together). Tujuan penelitian untuk mengetahui perbedaan sikap demokratis, untuk mengetahui respon siswa selama mengikuti pembelajaran, serta untuk mengetahui aktivitas pembelajaran. Penelitian ini menggunakan pendekatan penelitian kuantitatif dengan desain Randomized Pretest-posttest Control Group Design. Penelitian dilaksanakan di SD Muhammadiyah Sidayu Gresik dengan populasi dan sampel seluruh siswa kelas IV. Siswa dibagi menjadi tiga kelompok secara acak yaitu kelompok eksperimen 1 (Jigsaw), kelompok eksperimen 2 (NHT), dan kelompok kontrol. Instrumen penelitian menggunakan tes sikap demokratis. Analisis data menggunakan Anova Satu Jalan. Hasil penelitian ini menunjukkan bahwa tidak terdapat perbedaan sikap demokratis yang signifikan antara siswa yang mengikuti model pembelajaran kooperatif tipe Jigsaw dan NHT serta dengan pembelajaran konvensional pada pembelajaran PKn. Respon siswa diketahui sangat tertarik. Pelaksanaan pembelajaran terlaksana sangat baik. Aktivitas siswa sangat aktif meskipun dengan karakteristik siswa yang berbeda.  "
"PENGARUH PENGGUNAAN MEDIA CD INTERAKTIF TERHADAP KETERAMPILAN MENULIS KALIMAT 
KELAS III SDN BATURONO
",Penulis : Tiara Ayu Rahma Illahi,"Sulaiman, S.Pd., M.Pd","Wanda Ramansyah, S.Pd., M.Pd","Penelitian âPengaruh Penggunaan Media CD Interaktif terhadap Keterampilan Menulis Kalimat pada Pembelajaran Bahasa dan Sastra Indonesia Siswa Kelas III SDN Baturonoâ bertujuan untuk mengetahui adakah pengaruh pembelajaran menggunakan media CD Interaktif pada pembelajaran menulis kalimat siswa kelas III SDN Baturono terhadap hasil belajar keterampilan menulis kalimat siswa. Penilaian ini dilakukan di SDN Baturono dengan fokus pembelajaran Bahasa dan Sastra Indonesia pada materi menulis kalimat. Jenis penelitian yang digunakan adalah penelitian eksperimen dengan menggunakan metode penelitian True Experimental dengan menggunakan design Pretest-Postest Control Group Design  yang terdapat dua kelompok dan dipilih secara random. Kelas eksperimen dengan pembelajaran menggunakan media CD Interaktif, metode diskusi-ceramah dan kelas kontrol dengan pembelajaran menggunakan metode diskusi-ceramah. Instrumen utama yang digunakan adalah Tes Hasil Belajar (THB) subjektif sebanyak 5 soal. Sedangkan instrumen penunjangnya yaitu lembar observasi dan angket respon. Pada pengujian hipotesis diperoleh nilai Y = 2,5 + 0,9605.X, dapat disimpulkan pembelajaran menggunakan media CD Interaktif dapat mempengaruhi hasil belajar keterampilan menulis kalimat siswa.
Kata kunci : Media CD Interaktif,  keterampilan menulis kalimat
"
Pengaruh Penerapan Pendekatan Konstruktivistik Terhadap Kemampuan Siswa Kelas V Dalam Menggunakan Huruf Kapital,Penulis : Dianatur Rosyida,"Hani'ah, S. Pd., M. Pd","Ira Fatmawati, S. S., M. Pd","Pembelajaran bahasa Indonesia meliputi empat aspek keterampilan yaitu
keterampilan mendengarkan, berbicara, membaca, dan menulis. Melalui
pembelajaran bahasa Indonesia diarahkan untuk meningkatkan kemampuan siswa
dalam berkomunikasi secara baik dan benar, baik secara lisan maupun tertulis.
Namun, jika dilihat dari aspek menulis masih banyak siswa yang tidak
menerapkan penggunaan Ejaan Yang Disempurnakan secara benar baik
penggunaan huruf dan tanda baca. Penelitian ini bertujuan untuk mengetahui
pengaruh pendekatan konstruktivistik terhadap kemampuan siswa kelas V dalam
menggunakan huruf kapital.
Penelitian ini menggunakan metode eksperimen dengan bentuk design True
Eksperimental yang digunakan adalah Posttest-Only Control Design. Penelitian
ini dilaksanakan di SDN Gapura Barat 1 Sumenep dengan populasi semua siswa
kelas V Tahun Ajaran 2014-2015. Teknik Pengambilan Sampel menggunakan
sampel jenuh. Sampel penelitian sebanyak 2 kelas dengan jumlah masing-masing
kelas 20 siswa. pengumpulan data menggunakan tes, observasi, angket, dan
dokumentasi. Teknik analisis data menggunakan analisis regresi linier dan
dilanjutkan dengan uji hipotesis menggunakan uji-t.
Berdasarkan hasil penelitian yang dilakukan diperoleh thitung = 3,837 > t tabel
= 2,101, maka Ho ditolak dan Ha diterima. Dengan demikian dapat disimpulkan
bahwa terdapat pengaruh pendekatan konstruktivistik terhadap kemampuan siswa
kelas V-A dan V-B SDN Gapura Barat 1 dalam menggunakan huruf kapital.
Kata kunci: pendekatan konstruktivistik, huruf kapital"
PENGEMBANGAN PERANGKAT PEMBELAJARAN SIAGA BENCANA VULKANIK DI INDONESIA STUDI KASUS DI SDN SUGIHWARAS 2 KECAMATAN NGANCAR KABUPATEN KEDIRI,Penulis : DWI SULISTYANINGSIH,"EVA ARI WAHYUNI, S.Pd., M.Si","BADRUD TAMAM, S. Si., M.Pd.","Dwi Sulistyaningsih. NIM 110611100079. Pengembangan Perangkat Pembelajaran Siaga Bencana Vulkanik Di Indonesia Studi Kasus di SDN Sugihwaras 2 Kecamatan Ngancar Kabupaten Kediri. Skripsi. Pendidikan Guru Sekolah Dasar. Fakultas Keguruan dan Ilmu Pendidikan, Universitas Trunojoyo Madura. Pembimbing I Eva Ari Wahyuni, S. Pd, M. Si, pembimbing II Badrud Tamam, S.Si., M.Pd..
ABSTRAK

Indonesia merupakan Negara yang memiliki kerentaan terhadap bencana alam. Indonesia juga terdapat pegunungan vulkanik tua. Kondisi tersebut menyebabkan sebagian daerah di Indonesia memiliki kerentaan terhadap beberapa bencana salah satunya di Kabupaten Kediri yang memiliki kerentaan terhadap gunung meletus. Sekolah merupakan tempat yang sangat rawan terhadap bencana karena di sekolah terdapat siswa. Sehingga perlu pendidikan siaga bencana agar anak-anak memiliki sikap sigap dan reaktif terhadap bencana. Pengembangan perangkat pembelajaran siaga bencana vulkanik merupakan salah satu alternatif  untuk menyiapkan siswa dalam menghadapi bencana. Penelitian ini menggunakan metode pengembangan 4-D dan uji coba produk dilakukan di SDN Sugihwaras 2 Kecamatan Ngancar Kabupaten Kediri. Subjek coba ada penelitian ini adalah siswa kelas V. Instrumen pengumpulan data dengan menggunakan wawancara, kuisoner, dan tes. Analisis data dengan menggunakan teknik analisis deskriptif kualitatif, dan deskriptif kuantitatif. Hasil penelitian menunjukkan persentase kelayakan perangkat pembelajaran menurut ahli desain intruksional pembelajaran mencapai 90,22%  dan kelayakan materi dalam LKS mencapai 93,75% berdasarkan hasil tersebut menunjukkan perangkat perangkat pembelajaran siaga bencana vulkanik sangat valid. Efektivitas perangkat pembelajaran dengan menggunakan perangkat pembelajaran siaga bencana vulkanik ditinjau dari proses pembelajaran mencapai 88,8%. Hasil belajar siswa ketuntasan belajar klasikalnya mencapai 88,8%. 

Kata kunci : Perangkat pembelajaran, Siaga Bencana Vulkanik, Model pembelajaran 4D
"
"PENGEMBANGAN MEDIA PEMBELAJARAN MATRYOSHKA BOX SEBAGAI MEDIA CERITA PADA PEMBELAJARAN IPA MATERI RANTAI MAKANAN KELAS IV
(Studi Pada SDN Bancaran 4 Bangkalan)
",Penulis : Elyana Permata Putri,"Eva Ari Wahyuni, S.Pd., M.Si","Badrud Tamam, S.Si., M.Pd","Abstrak
Media pembelajaran merupakan salah satu faktor pendukung keberhasilan proses pembelajaran. Pada anak usia SD lebih mudah menerima materi jika dalam proses pembelajaran menggunakan media pembelajaran yang konkret. SDN Bancaran 4 merupakan salah satu SDN di Kabupaten Bangkalan yang saat mengajarkan materi rantai makanan pada kelas IV hanya menggunakan buku sebagai media pembelajaran sehingga proses pembelajaran belum sepenuhnya menarik, efektif dan menyenangkan. Permasalahan tersebut, menimbulkan keinginan peneliti untuk mengembangkan media pembelajaran yang dapat menciptakan proses pembelajaran menarik, efektif dan menyenangkan. Penelitian ini menggunakan model pembelajaran 4D. Tahapan model pembelajaran 4D antara lain: define, design, development dan disseminate. Berdasarkan hasil penelitian yang dilakukan, diperoleh hasil bahwa  persentase kelayakan media pembelajaran matryoshka box menurut ahli bahasa adalah 85,9% (sangat layak), menurut ahli materi  82,8% (cukup layak) dan menurut ahli media mencapai 88,6% (sangat layak). Kemenarikan media pembelajaran matryoshka box mencapai persentase 98,2%. Efektivitas pembelajaran dengan menggunakan media pembelajaran matryoshka box ditinjau dari segi proses 75% (cukup efektif) dan persentase aktivitas belajar siswa mencapai 77% (cukup aktif). Hasil belajar pada aspek kognitif ketuntasan belajar klasikal siswa adalah 100%. Pada aspek afektif nilai rata-rata siswa adalah 90,2 (sangat baik) dan pada aspek psikomotor nilai rata-rata siswa adalah 86,6 (sangat baik).
Kata kunci: Media Pembelajaran, Matryoshka box, IPA, Model Pembelajaran 4D
"
